Nom Text,Latin Translation
侫 臣 窖 𭓇 仍 勾 𠊛,nịnh thần khéo học những câu người
擬 麻 喭 朱 𠁀,nghĩ mà ngán cho đời
沙 機 𧏵 﨤 𩵽 唭 沛 油,sa cơ rồng gặp tôm cười phải du
舍 盘 之 𥒥 愚 夫,xá bàn chi đứa ngu phu
仍 𩔖 𫚳 别 志 鴻,những loài chim biết chí hồng
源 干 責 几 同 𥦗,nguồn cơn trách kẻ đồng song
𢚸 麻 女 負 𢚸 故 人,lòng mà nữ phụ lòng cố nhân
丕 𢧚 詠 𠬠 𢽼 韻,vậy nên vịnh một và vần
姅 分 責 伴 姅 分 𫺶 身,nửa phần trách bạn nửa phần giận thân
才 沛 𣅶 風 塵,tài phải lúc phong trần
油 浪 否 極 固 分 泰 来,dù rằng bĩ cực có phần thái lai
功 名 塘 駭 群 𨱽,công danh đường hãy còn dài
丈 夫 埃 劍 之 埃 麻,trượng phu ai kém chi ai mà
𪡇 娘 麻 沛 呐,nể nàng mà phải nói
拯 𫨩 娘 𠳨 之 些 悲 除,chẳng hay nàng hỏi chi ta bây giờ
𦖑 𠳒 娘 買 随 机,nghe lời nàng mấy tuỳ cơ
𠲶 唭 者 格 朗 𪪏 計 盘,mỉm cười giả cách lẳng lơ kể bàn
浪 㛪 㤕 分 紅 顔,rằng em chút phận hồng nhan
㤙 吒 𢘾 媄 拱 𫔮 丐 身,ơn cha nhờ mẹ cũng nhàn cái thân
想 朝 窕 清 新,tưởng chiều điệu thanh tân
約 𬇚 特 几 文 人 買,ước ao được kẻ văn nhân mới
双 堂 几 㕸 名,song đường kẻ rắp danh
皮 才 色 押 情 分 𣘈,bề tài sắc ép tình phấn son
商 周 伴 𪧘 各 諸 堆,thương chu bạn cũ các chư đôi
舍 另 身 閒 課 役 耒,xá lánh thân nhàn thuở việc rồi
檜 俗 茶 常 坡 渃 雪,cuội tục trà thường pha nước tuyết
尋 清 中 曰 羡 茶 梅,tìm thanh trong vắt tiện trà mai
𪀄 叫 花 𦬑 𣈜 春 净,chim kêu hoa nở ngày xuân tĩnh
香 論 碁 殘 席 客 催,hương luồn cờ tàn tiệc khách thôi
盃 固 蔑 念 庒 女 豸,bui có một niềm chăng nỡ trễ
道 濫 昆 免 道 濫 碎,đạo làm con lẫn đạo làm tôi
𩄲 㪚 𩅹 𬰆 柳 撑 𪳀,mây tan mưa tạnh liễu xanh om
戈 𠃅 禪 䦕 𥊘 眜,qua mái thuyền quan ghẻ mắt
外 揩 𢬣 𠄩 注 脿,ngoài day tay hai chú béo
𥪝 間 啘 喓 英,trong gian uốn éo anh
征 荣 案 偈 鐘 鐄 紫,chênh vênh án kệ chuông vàng tía
涞 𣼽 超 香 𫢋 𧺃,lai láng siêu hương phật đỏ
細 景 𥙩 之 𦓡 景,tới cảnh lấy gì mà cảnh
跪 𠄩 𨆝 𫴋 𩠓 森 森,quỳ hai gối xuống gật lom khom
潘 佩 珠 小 史,phan bội châu tiểu sử
翁 圭 於 廊 丹 染 縣 南 𣐙 省 乂 安,ông quê ở làng đan nhiễm huyện nam đàn tỉnh nghệ an
生 𢆥 𠬠 𠦳 𫤯 𨑮,sinh năm một nghìn tám mươi
𢆥 𫢩 𠄼 𨑮 𢆫,năm nay năm mươi tuổi
玉 底 𪵰 淎 𡎛,ngọc để dấn vũng bùn
迻 信 螉 𧊉 朱 𢞂 𢚸,đưa tin ong bướm cho buồn lòng
堛 𠇮 沛 𨀈 蹎,bực mình phải bước chân
尋 称 當 底 麻 𢚁 𭿍,tìm xứng đáng để mà cậy trông
邂 逅 相 逢,giải cấu tương phùng
婵 娟 固 𠻷 英 雄 𫨩 牢,thuyền quyên có hẹn anh hùng hay sao
罕 𦀊 月 老 車,hẳn dây nguyệt lão xe
朱 𢧚 妾 拯 管 包 𢀭 危,cho nên thiếp chẳng quản bao giàu nghèo
沛 縁 沛 刼 辰 蹺,phải duyên phải kiếp thì theo
他 鄉 﨤 渃 瓢 拱 𢧚,tha hương gặp nước lèo cũng nên
皮 丐 茟 丐 硯,về cái bút cái nghiên
巾 𢯢 襊 妾 吀 拖,khăn sửa túi thiếp xin đỡ
払 𦖑 擬 𬢱 秦 銀,chàng nghe nghĩ ngợi tần ngần
因 縁 埃 窖 磋 運 吏 朱,nhân duyên ai khéo xoay vần lại cho
擬 𠇮 當 𣅶 寒 儒,nghĩ mình đang lúc hàn nho
别 埃 麻 㐌 𠻷 㗅 買 埃,biết ai mà đã hẹn hò mới ai
拯 戈 作 合 在 𡗶,chẳng qua tác hợp tại trời
吹 𠊛 青 眼 﨤 𠊛 紅 顔,xui người thanh nhỡn gặp người hồng nhan
情 期 𢧚 伴 鳳 鵉,tình cờ nên bạn phượng loan
路 詩 于 祐 路 弹 相 如,loạ thơ vu hựu loạ đàn tương như
好 逑 詠 曲 拱 情,hảo cầu vịnh khúc cũng tình
𠊛 闺 阁 客 文 詞,người khuê các khách văn từ
庵 竹 軒 梅 𣈜 𣎃 戈,am trúc hiên mai ngày tháng qua
是 非 芇 典 𡎝 煙 霞,thị phi nào đến cõi yên hà
𩛷 咹 油 固 𦼞 㙁,bữa ăn dù có dưa muối
襖 默 奈 之 錦 羅,áo mặc nài chi gấm là
渃 養 朱 清 池 賞 月,nước dưỡng cho thanh trì thưởng nguyệt
坦 𦓿 牛 隘 𪽏 秧 花,đất cày ngõ ải luống ương hoa
工 欺 興 動 店 雪,trong khi hứng động đêm tuyết
吟 特 勾 神 𠱆 𠱆 歌,ngâm được câu thần dắng dắng ca
𢷀 包 蓓 淋,giũ bao bụi lầm
𪮏 襖 旦 䕺 林,tay áo đến tùng lâm
棱 核 葉 花 迡 動,rừng cây rợp hoa chầy động
塘 𠃣 𠊚 𠫾 𦹵 急 侵,đường ít người đi cỏ kíp xâm
疎 帶 俗 嫌 勾 帶 俗,thơ đới tục hiềm câu đới tục
主 無 心 客 無 心,chủ vô tâm khách vô tâm
竹 樁 軒 永 工 欺 意,trúc thông hiên vắng trong khi ấy
能 某 山 僧 𬈋 伴 吟,năng mỗ sơn tăng làm bạn ngâm
娘 浪 香 火 生,nàng rằng hương hoả sinh
沛 𠊛 𩙌 𦲿 𫚳 梗 如 埃,phải người gió lá chim cành như ai
為 縁 𢧚 沛 勿 奈,vì duyên nên phải vật nài
吀 払 固 𢙇 情 人,xin chàng có hoài tình nhân
𠄩 边 路 傳 懃,hai bên trò chuyện cần
闭 除 払 買 蹺 蹎 払 𧗱,bấy giờ chàng mới theo chân chàng về
戈 𨤮 長 堤,qua dặm tràng đê
脱 㐌 𧡊 𧵆 期 故,thoát đã thấy gần kề cố
𥋷 𥊛 風 景 闭 除,nhác trông phong cảnh bấy giờ
𨀈 娘 拱 堇 魚 如 払,bước nàng cũng ngẩn ngơ như chàng
園 春 景 色 強,vườn xuân cảnh sắc càng
𣘃 斜 坦 松 昂 𦝄 𡗶,cây tà đất tùng ngang lưng trời
書 𥦗 墻 壁 雷 傕,thư song tường vách lôi thôi
詩 辰 𤁕 墨 𪽗 辰 派 𣘈,thơ thì nhạt mực hoạ thì phai son
𨔍 之 景 遇 干 𢞂,lạ chi cảnh ngộ cơn buồn
仍 䀡 骨 格 沕 群 風 光,nhưng xem cốt cách vẫn còn phong quang
共 払 娘 買 𢯢 𨖅,cùng chàng nàng mới sửa sang
房 文 垠 吏 𠬠 間 𭓇 行,phòng văn ngăn lại một gian học hành
親 父 具 潘 文 浦,thân phụ cụ phan văn phổ
更 荣 永 𪔠 更 吨,canh văng vẳng trống canh dồn
渚 丐 紅 顔 買 渃 𡽫,chứ cái hồng nhan mới nước non
香 迻 醝 吏 醒,hương đưa say lại tỉnh
彚 𦝄 𩄴 尺 缺 𣜾 𧷺,vầng trăng bóng xế khuyết chưa tròn
扦 昂 坦 𦼔 曾 盎,then ngang đất rêu từng áng
續 蹎 𩄲 𥒥 𠇍 𫇳,tục chân mây đá mấy chòm
喭 餒 春 𠫾 春 吏 吏,ngán nỗi xuân đi xuân lại lại
𤗖 情 𣘈 子 𡥵 𡥵,mảnh tình son tí con con
親 母 具 潘 氏 春,thân mẫu cụ phan thị xuân
杜 首 科 場 乂 𢆥 更 子,đỗ thủ khoa trường nghệ năm canh tí
払 經 史 朱 明,chàng kinh sử cho minh
払 畑 册 習 情 朱 專,chàng đèn sách tập tành cho chuyên
娘 辰 𬓲 𠬠 軒,nàng thì riêng một hiên
𣒵 耕 勤 敏 𢝙 沔 女 工,gửi canh cần mẫn vui miền nữ công
𣈘 𣈗 𢚸 仍 啂 𢚸,đêm ngày lòng những nhủ lòng
雖 外 唭 𠹳 仍 冲 𪧚,tuy ngoài cười cợt nhưng trong giữ
朱 𫨩 𡬷 腋 貞 坚,cho hay tấc dạ trinh kiên
𥒥 鐄 㗂 㐌 凭 𥾽 情 春,đá vàng tiếng đã vững bền tình xuân
身 㛪 辰 分 㛪 𧷺,thân em thì phận em tròn
𬙞 浽 𠀧 沉 𠇍 渃 𡽫,bảy nổi ba chìm mấy nước non
𧋻 湼 黙 油 𢬣 几 攤,rắn nát mặc dầu tay kẻ nặn
仍 㛪 刎 𡨸 𬌓 𢚸 𣘈,nhưng em vẫn giữ tấm lòng son
払 徐 欺 﨤 佳 人,chàng từ khi gặp giai nhân
𧡊 春 𨻫 仍 秦 銀 𢚸,thấy xuân luống những tần ngần lòng
𣌋 終 乍 𠬠 茄,sớm chung chạ một nhà
欺 𫗒 欺 於 欺 欺,khi ăn khi ở khi khi
朝 歴 事 清 騷,chiều lịch sự thanh tao
強 𥆾 眉 柳 桃 強 腰,càng nhìn mày liễu đào càng yêu
海 堂 皮 聀 春 霄,hải đường vừa giấc xuân tiêu
巫 払 拱 算 條 𩄲 𩅹,vu chàng cũng toan điều mây mưa
拮 𠳒 娘 㐌 呈 疎,cất lời nàng đã trình thưa
浪 牢 君 子 擬 渚 盡 詳,rằng sao quân tử nghĩ chưa tận tường
本 𠊛 文 脉 書 香,vốn người văn mạch thư hương
𢚸 月 涓 塘 史,lòng nguyệt quên đường sử
之 仍 役 春 情,chi những việc xuân tình
𦀊 紅 㐌 𥾾 𣈗 𩇢 群 𨱽,dây hồng đã buộc ngày xanh còn dài
文 𦊚 期 穷,văn bốn kì cùng
期 第 一 曰 兼 治,kì đệ nhất viết kiêm trị
士 夫 調 服 𠊛 咍 𡦂,sĩ phu đều phục người hay chữ
㐌 𢧚 堛 𡥵,đã nên bậc con
爫 朱 𤏣 英 才 㐌,làm cho tỏ anh tài đã
払 亘 飭 三 餘,chàng gắng sức tam dư
𡗶 空 負 几 讀 書 麻,trời không phụ kẻ độc thư mà
科 名 浽 業 茄,khoa danh nối nghiệp nhà
榜 鐄 耒 仕 𤒘 𭉩 夷,bảng vàng rồi sẽ đuốc vội gì
包 除 欺 旦 荣 𡚖,bao giờ khi đến vinh quy
闭 除 妾 𪾋 惜 之 買 払,bấy giờ thiếp dám tiếc chi mới chàng
払 𦖑 觧 每 唐,chàng nghe giải mọi đường
搊 固 𡃍 之 娘 呂 荣,so có kém chi nàng lã vinh
強 𢜠 几 𠽃 鷄 鳴,càng mừng kẻ giúp kê minh
𦖑 強 沛 用 情 朱 坚,nghe càng phải dụng tình cho kiên
𣌋 針 道 聖 䝨,sớm chăm đạo thánh hiền
恪 如 体 𡥵 船 渃 沙,khác như thể con thuyền nước sa
㐌 勾 如 切 如 磋,đã câu như thiết như tha
吏 勾 如 𤥨 如 磨 技 強,lại câu như trác như ma kĩ càng
堛 它 巨 文 章,bậc đà cự văn chương
加 功 𭓇 習 吏 強 才,gia công học tập lại càng tài
志 啉 漢 榜 宋 科,chí lăm hán bảng tống khoa
翁 自 欺 𡮈 固 志 改 革,ông từ khi nhỏ có chí cải cách
𢆥 辛 丑 翁 招 集 伴 同 志 謀 圖 局 反 対 政 治,năm tân sửu ông chiêu tập bạn đồng chí mưu đồ cuộc phản đối chính trị
爫 卷 琉 球 血 淚 書 𢭮 朱 各 朝 臣 穷 各 名 士 底 鼓 動 𢚸 愛,làm quyển lưu cầu huyết lệ thư gửi cho các triều thần cùng các danh sĩ để cổ động lòng ái
國 𧵑 人 民,quốc của nhân dân
𡢐 𫥨 北 圻 交 𨒣 𠇍 各 名 人 外 北 如 ：,sau ra bắc kỳ giao du với các danh nhân ngoài bắc như :
具 督 定 宅 翁 秀 昌 耒 𨖲 𠇍 提 探 仍 不 得 志,cụ đốc định trạch ông tú xương rồi lên với đề thám nhưng bất đắc chí
如 抇 改 如,như nhặt cải như
認 徐 修 道 闭,nhịn từ tu đạo bấy
東 度 染 牟 秋 霜,đông độ nhuộm màu thu sương
仍 䝉 旦 隊 鏖 場,những mong đến đội ao trường
梗 花 上 苑 之 讓 朱 埃,cành hoa thượng uyển chi nhường cho ai
娘 徐 欺 𨀈 外,nàng từ khi bước ngoài
𡬷 𬓲 仍 𢖵 𠊛 情 鍾,tấc riêng những nhớ người tình chung
欺 店 冲 准 房,khi đêm trong chốn phòng
空 𪾋 挹 粉 空 𪾋 𢬗,không dám ấp phấn không dám dồi
𢆥 成 泰 次 𨑮 𧗱 中 圻 穷 𠇍 各 伴 ：,năm thành thái thứ mười về trung kì cùng với các bạn :
南 盛 山 斗 秀 定 鄧 採 蘋 鄧 子 曾 拔 虎 蔭 涵 云 云,nam thịnh sơn đẩu tú định đặng thái tần đặng tử tăng bạt hổ ấm hàm vân vân
穷 𠇍 翁 具 道 組 織 党 革 𠇮,cùng với ông cụ đạo tổ chức đảng cách mạng
𣎃 𠬠 𢆥 甲 辰 𠫾 外 國,tháng một năm giáp thìn đi ngoại quốc
滥 𠊚 拯 固 德 共 才,làm người chẳng có đức cùng tài
𠫾 儗 調 𪰛 劔 歇 𠄩,đi nghỉ đều thì kém hết hai
險 旭 權 庄 突 吝,hiểm hóc quyền chăng đụt lặn
清 閑 案 矣 刁 帶,thanh nhàn án hãy đeo đai
易 咍 𦛌 𣷭 溇 𣴓,dễ hay ruột bể sâu cạn
坤 别 𢚸 𠊚 𬑵 𨱽,khôn biết lòng người vắn dài
事 世 𭁈 冷 埃 𠳨 旦,sự thế dữ lành ai hỏi đến
保 浪 翁 㐌 的 𠄩 𦖻,bảo rằng ông đã điếc hai tai
欺 𣈗 外 准 𫔮 階,khi ngày ngoài chốn nhàn giai
畧 辰 丙 𦎛 辰 丙 𤐝,lược thì biếng gương thì biếng soi
𫷜 𧷺 審 脱 迻 梭,năm tròn thấm thoát đưa thoi
夏 戈 秋 細 冬 耒 吏 春,hạ qua thu tới đông rồi lại xuân
隊 畨 𢖵 朱 陳,đòi phen nhớ châu trần
䋦 情 娘 買 賖 𧵆 咀 嘆,mối tình nàng mới xa gần thở than
隊 畨 𢖵 景 鄉,đòi phen nhớ cảnh hương
𢖵 茄 娘 拱 盘 桓 念 西,nhớ nhà nàng cũng bàn hoàn niềm tây
圭 𠊛 吝 呂 闭 𫢩,quê người lần lữa bấy nay
併 祝 㐌 侯 𣹓 冬,tính chốc đã hầu đầy đông
𪧚 雪 價 冲,giữ tuyết giá trong
賖 吹 别 固 信 𢚸 朱 庒,xa xôi biết có tin lòng cho chăng
情 𬓲 拯 𪾋 呐 䏻,tình riêng chẳng dám nói năng
𣎃 𣈗 𨻫 仍 𥊛 澄 槐,tháng ngày luống những trông chừng hoè
求 䝨 㐌 𧡊 詔,cầu hiền đã thấy chiếu
几 𧵆 納 卷 几 賖 𨕭 唐,kẻ gần nộp quyển kẻ xa lên đường
文 人 闹 𠽋 𦊚 方,văn nhân náo nức bốn phương
娘 卞 㪽 朱 払 試,nàng bèn sửa cho chàng thi
蹺 真 𠄩 𥒥 随,theo chân hai đứa tuỳ
旦 払 買 認 圍 場,đến chàng mới nhận vi trường
𠰘 吟 𢬣 討 卷 鐄,miệng ngâm tay thảo quyển vàng
几 輸 茟 𠊛 譲 喠 文,kẻ thua bút người nhường giọng văn
場 屋 𠀧 秋 枉 某 名,trường ốc ba thu uổng mỗ danh
拯 才 称 聀 先 生,chẳng tài xứng chức tiên sinh
勤 約 操 園 諸 子,cùn ước xáo vườn chư tử
船 𫵈 坤 都 𣷭 六 經,thuyền mọn khôn đua bể lục kinh
案 核 畑 𠄩 伴 𪧘,án cây đèn hai bạn cũ
梅 軒 竹 蔑 𢚸 清,mai hiên trúc một lòng thanh
吏 𢜠 元 氣 皮 盛,lại mừng nguyên khí vừa thịnh
群 忌 爲 咍 蔑 𡨸 丁,còn cậy vì hay một chữ đinh
㐌 𠇍 秋 尼 底 例 茹,đã mấy thu nay để lệ nhà
縁 芇 刁 等 庫 庒 赦,duyên nào đeo đẳng khó chăng tha
蔑 身 吝 橘 塘 科 目,một thân lẩn quất đường khoa mục
𠄩 𡨸 麻 役 國 家,hai chữ mơ việc quốc gia
才 劣 辣 饒 𢧚 劔 伴,tài liệt lạt nhiều nên kém bạn
𠊚 𤷱 痗 歇 福 群 些,người mòn mỏi hết phúc còn ta
君 親 渚 報 𢚸 更,quân thân chưa báo lòng canh
情 負 粓 𡗶 襖 吒,tình phụ cơm trời áo cha
襊 踈 䕯 𨢇 情 控,túi thơ bầu rượu xênh xang
挂 用 歆 𠇍 琰 塘,quẩy dụng hâm mấy dặm đường
臺 子 陵 高 秋 沫,đài tử lăng cao thu mát
𤿤 張 騫 珥 客 𢀨,bè trương khiên nhẹ khách sang
蟳 六 辱 船 頭 罢,tằm lúc nhúc thuyền đầu bãi
蠔 質 摳 離 㯲 檜 廊,hàu chất so le khóm cuối làng
吟 索 尚 䊷 工 課 意,ngâm sách thằng chài trong thuở ấy
㗂 朝 𠰺 泣 滄 浪,tiếng trào dậy khắp thương lang
𢀨 共 庫 𪽝 蒸 𡗶,sang cùng khó bởi chưng trời
吝 木 爫 之 朱 辱 唏,lặn mọc làm chi cho nhọc hơi
瀉 𢚸 清 味 耨 渃,tả lòng thanh vị núc nác
𡍋 坦 隘 𪽏 夢 葸,vun đất ải luống mồng tơi
勤 節 奇 恒 捻,cần tiết cả hằng nắm
忠 孝 念 初 馬 女 移,trung hiếu niềm xưa mựa nỡ dời
昆 𡥙 渚 嫌 双 曰 兀,con cháu chớ hiềm song viết ngặt
詩 書 實 意 寶 𠦳 𠁀,thi thư thực ấy báu ngàn đời
噴 珠 𠰹 玉 𠸌 旬,phun châu nhả ngọc đòi tuần
科 扲 弄 𨑮 分 固,khoa cầm lỏng mười phần có
俸 𧡊 㗂 𬬻 傳,bỗng thấy tiếng lô truyền
刘 平 㐌 題 𨕭 榜 鐄,lưu bình đã đề trên bảng vàng
席 捽 㤙 頒,tiệc rót ơn ban
𦹵 撑 𬮌 養 底 𢚸 仁,cỏ xanh cửa dưỡng để lòng nhân
竹 立 軒 梅 抉 俗 塵,trúc rợp hiên mai quét tục trần
業 𪧘 詩 疎 恒 蔑 職,nghiệp cũ thi thư hằng một chức
縁 初 香 火 象 𠀧 身,duyên xưa hương hoả tượng ba thân
顔 淵 渃 貯 瓢 群 月,nhan uyên nước chứa bầu còn nguyệt
杜 甫 詩 𢧚 筆 固 神,đỗ phủ thơ nên bút có thần
女 君 親 渚 報 特,nợ quân thân chưa báo được
鞋 花 群 𥾽 琰 青 雲,hài hoa còn bợn dặm thanh vân
𠯪 嗷 香 桂 湯 𩄲,ngọt ngào hương quế thang mây
會 𬙽 亇 渃 森 圍,hội lành cá nước xum vầy
補 功 畑 册 闭 𫢩 文 房,bõ công đèn sách bấy nay văn phòng
娘 𦖑 信 拱 𢜠 𢚸,nàng nghe tin cũng mừng lòng
妥 情 餒 伴 𫯳 闭,thoả tình nuôi bạn chồng bấy
想 𠳒 𡽫 審 渃 溇,tưởng lời non thẳm nước sâu
仍 𢖵 対 愁 𢚸 圭,những nhớ đổi sầu lòng quê
情 𬓲 ㇴ 皮 皮,tình riêng riêng bề bề
倍 𢜠 娘 吏 𧗱 圭 鄉,vội mừng nàng lại về quê hương
𧡊 信 楊 禮 倍 鐄,thấy tin dương lễ vội vàng
差 𠊛 迍 逴 娘 冲,sai người đón rước nàng trong
情 初 𧡊 𢝙 𢚸,tình xưa thấy vui lòng
𨖅 潮 卅 廣 東 於 𠇍 刘 永 福,sang chiều châu quảng đông ở với lưu vĩnh phúc
喻 𠊛 越 南 於 边 艚 爫 𠬠 党,rủ người việt nam ở bên tàu làm một đảng
特 𠃣 吏 𨖅 日 本 結 交 𠇍 梁 啟 超 （ 号 飲 水 ） 穷 各 𠊛 艚 𠊛 日,được ít lại sang nhật bản kết giao với lương khải siêu ( hiệu ẩm thuỷ ) cùng các người tàu người nhật
𢆥 𠬠 𠦳 𤾓 零 阻 𧗱 艚 迍 翁 強 邸 𨖅 日 立 㑹 維 新,năm một nghìn trăm linh trở về tàu đón ông cường để sang nhật lập hội duy tân
鼔 動 捐 銭 南 𦓡 勸 喻 伴 少 年 𠫾 𨒣 学,cổ động quyên tiền nam mà khuyên nhủ bạn thiếu niên đi du học
𢆥 𠬠 𠦳 𤾓 被 𠊛 日 驅 逐 沛 𧗱 艚,năm một nghìn trăm bị người nhật khu trục phải về tàu
穷 𠊛 艚 組 𦃎 㑹 越 南 光 復,cùng người tàu tổ chức hội việt nam quang phục
𢆥 𠬠 𠦳 𤾓 𨑮 𠬠 𨖅 暹 羅,năm một nghìn trăm mười một sang xiêm la
耒 吏 𨖅 德 𨖅 俄,rồi lại sang đức sang nga
𢆥 𠬠 𠦳 𤾓 𨑮 為 固 仍 𠊛 暴 動 称 朱,năm một nghìn trăm mười vì có những người bạo động xưng cho
被 座 案 𫽅 罪 処 死 永,bị toà án khép tội xử tử vắng
𣎃 𬙞 𢆥 𠬠 𠦳 𤾓 𠄩 𠄻 被 扒 於 艚,tháng bảy năm một nghìn trăm hai lăm bị bắt ở tàu
𣈗 𠄩 𨑮 𣎃 𠬠 西,ngày hai mươi tháng một tây
会 同 提 刑 結 案 苦 差 終 身,hội đồng đề hình kết án khổ sai chung thân
𣈗 𠄩,ngày hai
𨑮 𦊚 𣎃 腊 西,mươi bốn tháng chạp tây
特 官 全 權 𫥨 令 㤙 赦,được quan toàn quyền ra lệnh ân xá
欺 於 外 國 固 曰 报 吧 爫 册,khi ở ngoại quốc có viết báo và làm sách
仍 册 固 卷 餘 九 年 所 持 之 主 𡅳 同 胞 補 罕 𡓃 武 力,những sách có quyển dư cửu niên sở được chi chủ khuyên đồng bào bỏ hẳn lối vũ lực
蹺 𦎛 亞 拉 伯 吧 非 律 津 故 飭 学 行 底 𨖲 塘 文 明 辰 𠊛 法 仕 朱 自 治,theo gương á lạp bá và phi luật tân cố sức học hành để lên đường văn minh thì người pháp sẽ cho tự trị
卷 創 造 少 年 南 越 之 方 法 固 呐 仍 調 進 歩 𦓡 政 府 法 㐌 𨢟 朱 渃 南,quyển sáng tạo thiếu niên nam việt chi phương pháp có nói những điều tiến bộ mà chính phủ pháp đã gây cho nước nam
吏 固 曰 卷 法 越 提 𢹂 政 見 書,lại có viết quyển pháp việt đề huề chính kiến thư
記 獨 醒 子 𦓡 册 恪 女,kí độc tỉnh tử mà sách khác nữa
𡢐 欺 㑹 同 提 刑 処 罰 翁 苦 差 終 身,sau khi hội đồng đề hình xử phạt ông khổ sai chung thân
國 民 故 飭 運 動 朱 翁 特 他,quốc dân cố sức vận động cho ông được tha
𣈗 𠄩 𨑮 𣎃 𠬠 西,ngày hai mươi tháng một tây
翁 会 長 会 中 圻 相 済 固 𢭮 朱 官 全 權 𠬠 幅 電 信,ông hội trưởng hội trung kì tương tế có gửi cho quan toàn quyền một bức điện tín
吀 𧍋 下 顧 𦤾 翁 潘 𠊛 中 圻 當 沛 𮥷,xin ngài hạ cố đến ông phan người trung kì đang phải nạn
𦤾 𣈗 𨑮 𣎃 𠬠 西,đến ngày mươi tháng một tây
㑹 㜥 接 特 電 信 官 全 權 者 𠳒 如 𡢐 尼,hội mái tiếp được điện tín quan toàn quyền trả lời như sau này
官 全 權 東 法 答 吏 翁 黃 進 講 会 長 会 中 圻 相 済,quan toàn quyền đông pháp đáp lại ông hoàng tiến giảng hội trưởng hội trung kì tương tế
本 聀 通 报 朱 𠄩 状 師 辨 𫉚 𧗱 役 潘 佩 珠 别 浪 意 本 聀 定 欺 𫥨 河 内 仕 扒 頭 察 吏 糊 初 私,bản chức thông báo cho hai trạng sư biện hộ về việc phan bội châu biết rằng ý bản chức định khi ra hà nội sẽ bắt đầu xét lại hồ sơ tư
𢬣 准 樓 紅 寒 暄,tay chốn lầu hồng hàn huyên
娘 浪 㐌 𠳒 願,nàng rằng đã lời nguyền
𪾋 醝 情 伴 麻 悁 払,dám say tình bạn mà quên chàng
秋 𧜖 𫋻 他 鄉,thu chăn gối tha hương
𠄼 更 妾 仍 𢠩 忙 奇 𠄼,năm canh thiếp những mơ màng cả năm
北 南 堆 我 賖 侵,bắc nam đôi ngả xa xăm
愁 𬓲 似 𣷭 𢢇,sầu riêng tựa bể tủi
管 包 派 粉 𤁕 𣘈,quản bao phai phấn nhạt son
𢬇 朱 特 𣃱 𧷺 爱 㤙,giữ cho được vuông tròn ái ân
矇 朱 旦 㑹 竜 雲,mong cho đến hội long vân
朱 𠊛 占 榜 春 麻 𧗱,cho người chiếm bảng xuân mà về
悲 除 㐌 院 每 皮,bây giờ đã vẹn mọi bề
払 群 𢖵 交 誓 𫨩 空,chàng còn nhớ giao thề hay không
𫷜 㤕 㧅 蓬,năm chút đeo bòng
綱 常 𠄩 𡦂 妾 空 𪾋 移,cương thường hai chữ thiếp không dám rời
払 油 拯 固 信 𠳒,chàng dù chẳng có tin lời
𪾋 吀 固 𩃳 𡗶 証 明,dám xin có bóng trời chứng minh
払 浪 胣 仍 丁 寧,chàng rằng dạ những đinh ninh
㤙 葛 為 情 芝 𬞕,ơn cát vì tình chi lan
闭 𢖵 客 紅 顔,bấy nhớ khách hồng nhan
别 包 𥐆 咀 𨱽 嘆 亊 𢚸,biết bao vắn thở dài than sự lòng
身 閑 油 細 油 𨙝,thân nhàn dầu tới dầu lui
輸 特 朋 棊 埃 几 堆,thua được bằng cờ ai kẻ đôi
伴 𪧘 少 畑 免,bạn cũ thiếu đèn lẫn
性 涓 庄 劒 竹 共 梅,tính quen chăng kiếm trúc cùng mai
𦓿 𢶢 雪 吟 隊 景,cày chống tuyết ngâm đòi cảnh
掬 制 春 泣 每 頽,cuốc chơi xuân khắp mọi đồi
昆 𡥙 馬 嫌 双 曰 賤,con cháu mựa hiềm song viết tiện
𠦳 頭 柑 橘 意 羅 碎,nghìn đầu cam quýt ấy là tôi
斜 陽 俸 我 課 紅 樓,tà dương bóng ngả thuở hồng lâu
世 界 冬 𢧚 玉 蔑 瓢,thế giới đông nên ngọc một bầu
雪 朔 撩 核 點 粉,tuyết sóc treo cây điểm phấn
晷 東 豸 月 印 鈎,quỹ đông dãi nguyệt in câu
𤌋 沉 水 國 涓 滂,khói chìm thủy quốc quyên phẳng
鴈 篆 虛 空 偷,nhạn triện hư không thâu
船 𫵈 群 掉 拯 肯 杜,thuyền mọn còn chèo chăng khứng đỗ
𡗶 班 最 約 𧗱,trời ban tối ước về
朱 𡬷 胣 始 终,cho tấc dạ thuỷ chung
肝 鐄 𥒥 𥾽 𢚸 鉄 𣘈,gan vàng đá bền lòng sắt son
章 䑓 隔 阻 渃 𡽫,chương đài cách trở nước non
埃 𫨩 𣘃 栁 駭 群 梗 春,ai hay cây liễu hãy còn cành xuân
㤙 𢚸 别 之 吀,ơn lòng biết chi xin
強 夭 為 強 親 為 情,càng yêu vì càng thân vì tình
払 強 醝 𬌓 𢚸 貞,chàng càng say tấm lòng trinh
縁 初 香 焒 生 強 燶,duyên xưa hương lửa sinh càng nồng
店 春 𤏣 篭,đêm xuân tỏ lồng
局 𢝙 吏 捽 同 交 歡,cuộc vui lại rót đồng giao hoan
娘 徐 𧗱 准 房 鵉,nàng từ về chốn phòng loan
集,tập
